title,abstract,subjects
Chemical programming to exploit chemical reaction systems for computation,"This thesis is on programming approaches to exploit the computational capabilities of chemical systems, consisting of two parts. In the first part, constructive design, research activities on theoretical development of chemical programming are reported. As results of the investigations, general programming principles, named organization-oriented programming, are derived. The idea is to design reaction networks such that the desired computational outputs correspond to the organizational structures within the networks. The second part, autonomous design, discusses on programming strategies without human interactions, namely evolution and exploration. Motivations for this programming approach include possibilities to discover novelty without rationalization. Regarding first the evolutionary strategies, we rather focused on how to track the evolutionary processes. Our approach is to analyze these dynamical processes on a higher level of abstraction, and usefulness of distinguishing organizational evolution in space of organizations from actual evolution in state space is emphasized.",gnd:4290091-8 gnd:4531334-9
Molecular kinetics of metabotropic glutamate receptors,"Metabotropic glutamate receptors (mGluRs) belong to class C G-protein-coupled receptors (GPCRs). They are characterized by a large extracellular domain which is composed of the ligand-binding domain (LBD), followed by a cysteine rich-domain (CRD) that ends up at the transmembrane domains (TDM). After glutamate binding, each subunit of the mGluR dimer move towards one another (intermolecular rearrangement) and then intramolecular rearrangements follow. mGluRs are organized either as homodimers or heterodimers. Eight members belonging to mGluRs are classified in three groups: group I (mGluR1 and mGluR5), group II (mGluR2 and mGluR3), and group III (mGluR4, mGluR6, mGluR7 and mGluR8). Activation kinetics of ligand-activated GPCRs has been reported to be in the range of 10-80 ms, with mGluR1 being the fastest receptor measured so far, however, it was limited by the method that was used in the respective studies. On the other hand, activation kinetics of rhodopsin, a light-activated GPCR, is in the range of 1 ms, measured with optical methods, not applicable to other GPCRs. Therefore, we used the a confocal patch-clamp fluorometry (cPCF) combined with fast concentration jumps and a high-resolution laser scanning microscope (LSM) to analyze the real activation kinetics of mGluR1 in outside-out membrane patches expressing mGluR FRET sensors. Our data show fast intermolecular activation kinetics of ∼1 ms, about ten times faster than data published previously and our value is not limited by our technique. The kinetics within a receptor subunit (A-sensor) was around 20 times slower for both activation and deactivation kinetics. The observed deactivation kinetics was determined to be in the time range of tens of ms for the E-sensor, and hundreds of ms for the A-sensor. Furthermore, we used same approach to create FRET sensors for all members of mGluRs, mGluR1 to mGluR8 and systematically analyzed dimerization and kinetics for all 36 homo- and heterodimeric forms.",gnd:4243777-5 gnd:4773018-3 gnd:4695098-9 gnd:4325632-6
Chemical programming to exploit chemical reaction systems for computation,"This thesis is on programming approaches to exploit the computational capabilities of chemical systems, consisting of two parts. In the first part, constructive design, research activities on theoretical development of chemical programming are reported. As results of the investigations, general programming principles, named organization-oriented programming, are derived. The idea is to design reaction networks such that the desired computational outputs correspond to the organizational structures within the networks. The second part, autonomous design, discusses on programming strategies without human interactions, namely evolution and exploration. Motivations for this programming approach include possibilities to discover novelty without rationalization. Regarding first the evolutionary strategies, we rather focused on how to track the evolutionary processes. Our approach is to analyze these dynamical processes on a higher level of abstraction, and usefulness of distinguishing organizational evolution in space of organizations from actual evolution in state space is emphasized.",gnd:4290091-8 gnd:4531334-9
Molecular kinetics of metabotropic glutamate receptors,"Metabotropic glutamate receptors (mGluRs) belong to class C G-protein-coupled receptors (GPCRs). They are characterized by a large extracellular domain which is composed of the ligand-binding domain (LBD), followed by a cysteine rich-domain (CRD) that ends up at the transmembrane domains (TDM). After glutamate binding, each subunit of the mGluR dimer move towards one another (intermolecular rearrangement) and then intramolecular rearrangements follow. mGluRs are organized either as homodimers or heterodimers. Eight members belonging to mGluRs are classified in three groups: group I (mGluR1 and mGluR5), group II (mGluR2 and mGluR3), and group III (mGluR4, mGluR6, mGluR7 and mGluR8). Activation kinetics of ligand-activated GPCRs has been reported to be in the range of 10-80 ms, with mGluR1 being the fastest receptor measured so far, however, it was limited by the method that was used in the respective studies. On the other hand, activation kinetics of rhodopsin, a light-activated GPCR, is in the range of 1 ms, measured with optical methods, not applicable to other GPCRs. Therefore, we used the a confocal patch-clamp fluorometry (cPCF) combined with fast concentration jumps and a high-resolution laser scanning microscope (LSM) to analyze the real activation kinetics of mGluR1 in outside-out membrane patches expressing mGluR FRET sensors. Our data show fast intermolecular activation kinetics of ∼1 ms, about ten times faster than data published previously and our value is not limited by our technique. The kinetics within a receptor subunit (A-sensor) was around 20 times slower for both activation and deactivation kinetics. The observed deactivation kinetics was determined to be in the time range of tens of ms for the E-sensor, and hundreds of ms for the A-sensor. Furthermore, we used same approach to create FRET sensors for all members of mGluRs, mGluR1 to mGluR8 and systematically analyzed dimerization and kinetics for all 36 homo- and heterodimeric forms.",gnd:4243777-5 gnd:4773018-3 gnd:4695098-9 gnd:4325632-6
Chemical programming to exploit chemical reaction systems for computation,"This thesis is on programming approaches to exploit the computational capabilities of chemical systems, consisting of two parts. In the first part, constructive design, research activities on theoretical development of chemical programming are reported. As results of the investigations, general programming principles, named organization-oriented programming, are derived. The idea is to design reaction networks such that the desired computational outputs correspond to the organizational structures within the networks. The second part, autonomous design, discusses on programming strategies without human interactions, namely evolution and exploration. Motivations for this programming approach include possibilities to discover novelty without rationalization. Regarding first the evolutionary strategies, we rather focused on how to track the evolutionary processes. Our approach is to analyze these dynamical processes on a higher level of abstraction, and usefulness of distinguishing organizational evolution in space of organizations from actual evolution in state space is emphasized.",gnd:4290091-8 gnd:4531334-9
Molecular kinetics of metabotropic glutamate receptors,"Metabotropic glutamate receptors (mGluRs) belong to class C G-protein-coupled receptors (GPCRs). They are characterized by a large extracellular domain which is composed of the ligand-binding domain (LBD), followed by a cysteine rich-domain (CRD) that ends up at the transmembrane domains (TDM). After glutamate binding, each subunit of the mGluR dimer move towards one another (intermolecular rearrangement) and then intramolecular rearrangements follow. mGluRs are organized either as homodimers or heterodimers. Eight members belonging to mGluRs are classified in three groups: group I (mGluR1 and mGluR5), group II (mGluR2 and mGluR3), and group III (mGluR4, mGluR6, mGluR7 and mGluR8). Activation kinetics of ligand-activated GPCRs has been reported to be in the range of 10-80 ms, with mGluR1 being the fastest receptor measured so far, however, it was limited by the method that was used in the respective studies. On the other hand, activation kinetics of rhodopsin, a light-activated GPCR, is in the range of 1 ms, measured with optical methods, not applicable to other GPCRs. Therefore, we used the a confocal patch-clamp fluorometry (cPCF) combined with fast concentration jumps and a high-resolution laser scanning microscope (LSM) to analyze the real activation kinetics of mGluR1 in outside-out membrane patches expressing mGluR FRET sensors. Our data show fast intermolecular activation kinetics of ∼1 ms, about ten times faster than data published previously and our value is not limited by our technique. The kinetics within a receptor subunit (A-sensor) was around 20 times slower for both activation and deactivation kinetics. The observed deactivation kinetics was determined to be in the time range of tens of ms for the E-sensor, and hundreds of ms for the A-sensor. Furthermore, we used same approach to create FRET sensors for all members of mGluRs, mGluR1 to mGluR8 and systematically analyzed dimerization and kinetics for all 36 homo- and heterodimeric forms.",gnd:4243777-5 gnd:4773018-3 gnd:4695098-9 gnd:4325632-6
Structural and magnetic investigations of two spreading systems around the Rodriguez Triple Junction with respect to hydrothermal activities,"Mid-ocean ridges, hydrothermal vent fields, spreading rates. - Mittelozeanische Rücken, Hydrothermalfelder, Spreizungsraten",gnd:4381336-7
Investigation of high molecular weight amine donors for the process intensification in chiral amine synthesis with transaminases,"['The synthesis of several bioactive compounds and active pharmaceutical ingredients relies on the development of general and efficient methods to prepare optically pure amines. Transaminases are industrially relevant enzymes and are useful for synthesizing a large number of compounds that contain a chiral amine functionality. Although the immense potential associated to the use of these biocatalysts, the equilibrium position is often unfavorable for amine synthesis. The use of an excess of amine donor, compared to the ketone substrate, combined with selective removal of the formed product, can help in overcoming this limitation. This work mainly focused on broadening the application of membrane-based in situ product recovery (ISPR) techniques for the transaminase-catalyzed synthesis of chiral amines. The overall work was designed around the implementation of amine donors, possessing considerably larger molecular ‘size’ compared to commonly used amine donors. To clearly distinguish these molecules from traditional donor amines, we designate them as High Molecular Weigh amine donors. With a molecular weight between 400 and 1500 g/mol, in contrast to traditional donor amines, HMW amine donors enable a size-based separation between amine donor and amine product molecules. HMW amines, provided in excess for thermodynamic equilibrium shifting can thus be simply retained by a size-exclusion mechanism by commercial membranes, while the smaller product amines are permeated. Therefore, ...', 'Amine, Enzyme, asymmetric synthesis, Asymmetric synthesis, Biocatalysis, Chiral amine, Enzyme, In situ product recovery, Membrane, Transaminases']",gnd:4185867-0 gnd:4293230-0 gnd:4348527-3 gnd:4001705-9 gnd:4014988-2 gnd:4393622-2 gnd:1047992337 gnd:4038571-1 gnd:4135603-2
Quantum key security : theory and analysis of experimental realisations,"Continuous variable quantum cryptography, hybrid reconciliation, runtime analysis, asymmetric protocol. - Quanten-Schlüsselerzeugung, hybride Fehlerkorrektur, Laufzeitanalyse, asymmetrische Protokolle",gnd:4596917-6 gnd:4135212-9
"Genetic erosion in crop wild relatives : wild barley, Hordeum vulgare subsp. spontaneum, a case study in Jordan ; [kumulative Dissertation]","['crop wild relative; genetic erosion; genetic diversity; wild barley; Hordeum vulgare subsp. spontaneum; population structure; re-collection and resurrection method; Jordan', 'Die heutige Struktur der genetischen Vielfalt in Hordeum vulgare subsp. spontaneum (K. Koch) Thell. und ihre zeitliche Veränderung in situ in Jordanien wurde untersucht. Die heutige Populationsstruktur zeigte drei genetische Cluster. Populationen waren durch Vermischung und hohe allelische Variation gekennzeichnet, genetische Vielfalt war vorwiegend im Norden Jordans zu finden. Der Vergleich der Populationen von 1981 und 2012 zeigte, dass die Populationsstruktur weitgehend erhalten wurde, sich die Populationsdifferenzierung verringerte, aber heutige Populationen größere allelische Variation besitzen. Der Phänotyp insgesamt zeigte Veränderungen. Das Klima wurde trockener und heißer. Diese komplexe Reaktion auf Umweltvariabilität konnte nicht anhand geläufiger Korrelationsanalysen erklärt werden und erfordert komplexere Modelle, um diese Ergebnisse zu interpretieren. Es erscheint angebracht, in zukünftigen Untersuchungen an Wildarten, die bevorzugt in landwirtschaftlichen Gebieten vorkommen, auch ackerbauliche und bäuerliche Praktiken mit einzubeziehen um die Analyse und Entwicklung von Erhaltungsmaßnahmen der Vielfalt zu unterstützen.', 'Current pattern of diversity and its changes over time in situ were assessed in Hordeum vulgare subsp. spontaneum (K. Koch) Thell. in Jordan. Current population structure showed three distinct genetic clusters. Populations were characterized by admixture and high allelic richness, genetic diversity was higher in the northern part of Jordan. The comparison of populations from 1981 and 2012 showed that population structure was maintained but population differentiation was lower in 2012, while populations from 2012 showed higher genetic diversity. Multi-trait phenotypes differed between years. The climate became hotter and dryer over the study period. This observed complex response to environmental variation could not be explained by common correlative analyses that link genetic and phenotypic change with climate or geographic variation and require more complex models to interpret results and better predict vulnerability and extinction risk. The results suggest that in future studies on wild species growing in disturbed habitats and agricultural areas, agricultural and farmer practices should also be investigated.', 'wilde Verwandte der Kulturpflanzen; genetische Erosion; genetische Vielfalt; Wildgerste; Hordeum vulgare subsp. spontaneum; Populationsstruktur; re-collection and resurrection Methode; Jordanien']",gnd:4278804-3 gnd:4046800-8 gnd:4046804-5 gnd:4264352-1
Montagegerechtes Produktstrukturieren im Kontext einer Lebensphasenmodularisierung,"['The structuring of products is awarded with the highest potentials for assembly effort reduction of variant product families. A research in corresponding literature in the field of engineering design shows deficits of the approaches regarding systematic and consistent applicability in pre-development phase as well as consideration of product variety. In this dissertation a methodical procedure is evolved, that systematically transfers production knowledge and information into product development where it is applied for product structuring. Core element of the approach is a specially developed graphical tool, by this the actual product structuring task is performed. Therefore, the product structure and the assembly process are merged in a mutual graphical tool. In parallel, structuring measures are set up, that are formulated in the syntax of the graphical tool. By applying these measures within the tool, their impact both on the product structure and on the assembly process is directly pointed out. Thereby, an immediate evaluation of the product structuring is facilitated. For an enhancement of the evaluation a key figure system is used. The developed approach is validated within a case study application.$cen$dAbstract', 'Dem Aspekt der Strukturierung werden die größten Potentiale zur montagegerechten Gestaltung varianter Produktfamilien zugesprochen. Eine Untersuchung des Stands der Wissenschaft auf dem zugehörigen Bereich der Konstruktionslehre offenbart Defizite der existierenden Produktstrukturierungsmethoden hinsichtlich systematischer und konsistenter Anwendbarkeit in der Vorentwicklungsphase sowie Berücksichtigung der Produktvarianz. Im Rahmen dieser Dissertation wird ein Ansatz entwickelt, mit dem Wissen und Informationen aus der Produktion systematisch in die Produktentwicklung überführt und dort zur Produktstrukturierung verwendet werden. Das Kernelement des Ansatzes ist ein eigens entwickeltes graphisches Werkzeug, anhand dessen die tatsächliche Durchführung der Produktstrukturierung erfolgt. Dafür werden die Informationen zur Produktstruktur und zum Montageprozess zusammengeführt und graphisch abgebildet. Parallel erfolgt die Aufstellung von Strukturierungsmaßnahmen, die in der Syntax des graphischen Werkzeugs formuliert sind. Durch die Anwendung dieser Maßnahmen innerhalb des Werkzeugs werden die Auswirkungen sowohl auf die Produktstruktur, als auch auf den Montageprozess direkt aufgezeigt, was eine umgehende Bewertung ermöglicht. Zur Unterstützung der Bewertung wird ein Kennzahlsystem verwendet. Der Ansatz wird anhand einer Fallstudie validiert.$cde_DE$dAbstract']",gnd:4120759-2 gnd:4139402-1
Zur Lösung nichtlinearer Ausgleichungsprobleme bei der Bestimmung von Frequenzen in Zeitreihen,"With regard to geodesy optimizing procedures for nonlinear adjustment problems are presented. The procedures can be divided into local and global optimization techniques according to the type of the problem. If good initial values are given, the usage of local optimization techniques, (e.g., the Gauß-Newton procedure) is justified. If this is not the case, and the minimizing function has various local minimums, a global strategy must be implemented. Applying global optimization techniques one will not yield the global solution with certainty; only a probabilistic solution will be obtained. Nevertheless, combining local and global strategy and inclusion of all available a priori-information, a global optimizing system can be established that yields practical results for a wide area of problems. With the increase of the capacity of modern computers the efficiency of global optimization algorithms comes along ...",gnd:4143526-6 gnd:4140067-7 gnd:4024772-7 gnd:4067486-1 gnd:4020202-1
"Redox behavior of glasses doped with copper and arsenic, antimony or tin","Soda-lime-silicate glasses (16Na2O-10CaO-74SiO2, in mol %) doped with copper and arsenic were studied by high temperature UV-vis spectroscopy. The base glass is a model for sheet glasses. Arsenic was one of the classical fining agents and is still used as an oxidizing additive in heavy metal oxide glasses. During heating, the Cu2+ absorptivity slightly decreased up to a temperature of 470 ʿC. At further increasing temperatures, the absorptivity decreased more notably and after reaching a minimum at temperatures >600 ʿC strongly increased again. At smaller heating rates, the minimum was more pronounced and was shifted to lower temperatures. This was explained by the redox reaction: 2Cu2+ + As3+ ? 2Cu+ + As5+. This reaction is shifted to the left during heating. At temperatures < 470 ʿC, this reaction is kinetically frozen and at temperatures > 600 ʿC, it is in equilibrium. In-between, the kinetics play an important part. Rate constants of the redox reaction were determined from relaxation times. The rate constants showed Arrhenius behavior and were inserted into a kinetic differential equation. Numerical solutions of this differential equation were in good agreement with the results from high temperature spectroscopy. The activation energy is 210 kJ?mol-1. This value is much smaller than the activation energy of viscous flow and hence the rate determining step is assumed to be the diffusion of Cu2+.",gnd:4177303-2 gnd:4142706-3 gnd:4190891-0 gnd:4033734-0 gnd:4172682-0 gnd:4143096-7
"Interface modification by ion implantation and optical characterization of high-efficiency Cu(In,Ga)Se2 solar cells","Three different issues are discussed in this thesis, which aim for a deeper understanding of Cu(In,Ga)Se2 material properties and solar cell functionality: (1)Near-surface ion implantation in Cu(In,Ga)Se2 absorber layers is studied as a method for the fabrication of buffer-free solar cells. Simulations show the beneficial effect of an n-type surface layer (buried junction). To obtain an inversion by means of ion implantation, an annealing procedure is developed that avoids annealing-induced degradation of the cell, minimizes the diffusion of the ions, and recovers the implantation damage. Buffer-free solar cells made from implanted absorbers show strongly improved diode characteristics comparable to the ones of cells with a CdS buffer and a maximum efficiency of 10.2% (11.2% active area). (2)A model is developed for the application of luminescence techniques on band-gap graded semiconductor thin-films. Several DA-emissions are detected in the cathodoluminescence (CL) and photoluminescence (PL) spectra of Ga-graded in Cu(In,Ga)Se2 and related to the local Ga-contents in the layer. The depth-distribution of the luminescence signal is correlated to the band-gap profile. Drift of excited charge carriers towards the band-gap minimum is caused by the grading-induced quasi-electric field, which must be considered when explaining the spectra obtained in plan-view measurements. Monochromatic CL imaging on cross-sections is capable to determine the minority carrier mobility.",gnd:4174517-6 gnd:4027606-5 gnd:4150833-6
Microporous metal imidazolates : synthesis and characterization of nano- and microcrystals as well as membranes and investigation of the mechanisms of crystallization,"Metal-organic frameworks, MOFs, zeolitic imidazolate frameworks, ZIFs, nanomaterials, modulated synthesis, nucleation, crystal growth, in-situ scattering methods. - Metall-organische Gerüststrukturen, zeolitische Imidazolat-Gerüststrukturen, Nanomaterialien, modulierte Synthese, Keimbildung, Kristallwachstum, in-situ-Streumethoden",gnd:4123579-4 gnd:7543825-2 gnd:4161308-9 gnd:4067660-2 gnd:7755315-9
